policy_id,claim_amount,claim_date,claim_type,claim_id
198,1968.11,2020-01-18,Fire,82
203,1841.14,2020-12-15,Fire,83
208,1490.55,2019-10-10,Fire,84
212,1916.45,2022-11-25,Fire,85
223,3288.22,2020-01-12,Collision,86
224,1827.87,2023-01-09,Fire,87
225,2393.46,2018-11-15,Fire,88
233,446.31,2021-10-25,Fire,89
233,407.82,2021-06-13,Fire,90
236,4045.66,2019-04-26,Fire,91
238,233.65,2022-04-30,,92
240,2788.09,2022-10-05,,93
246,767.79,2023-07-07,,94
249,5628.09,2022-02-26,Theft,95
249,2782.56,2022-02-26,Collision,96
249,1322.63,2022-05-28,Collision,97
250,3466.96,2023-10-09,Fire,98
250,2125.91,2023-10-29,Fire,99
250,675.95,2023-11-14,Theft,100
254,627.09,2019-10-12,Theft,101
254,3393.56,2019-09-29,Fire,102
256,167.51,2022-12-08,Fire,103
257,715.05,2024-02-28,Theft,104
260,1397.28,2023-03-01,Collision,105
260,1757.84,2023-09-09,Fire,106
263,953.9,2020-08-18,Theft,107
267,1604.25,2020-01-26,,108
268,3580.22,2021-06-14,Fire,109
999999,4273.62,2018-12-27,Fire,110
273,2684.05,2020-05-30,Collision,111
273,1587.13,2020-01-04,Theft,112
280,2413.08,2023-01-01,Collision,113
282,1434.72,2021-03-30,Fire,114
282,6378.47,2021-02-26,Fire,115
287,928.02,2021-06-16,Theft,116
288,1522.18,2021-09-08,Collision,117
290,2946.11,2021-07-11,Collision,118
290,3405.75,2022-05-01,Fire,119
295,798.12,2022-03-22,Fire,120
295,3185.46,2022-06-24,Collision,121
298,270.29,2023-07-21,Theft,122
298,5079.78,2023-10-24,,123
302,5974.76,2021-10-07,Theft,124
303,1778.18,2023-05-01,,125
305,904.74,2022-06-24,Fire,126
309,859.74,2019-04-02,Fire,127
309,1756.1,2019-05-11,Theft,128
310,3861.1,2019-02-22,Theft,129
311,2815.48,2021-02-24,Fire,130
313,1593.46,2019-01-15,Collision,131
318,273.15,2021-03-27,Fire,132
320,1602.36,2019-06-18,Fire,133
321,808.76,2022-02-09,Fire,134
321,2165.84,2022-05-22,Fire,135
322,1333.88,2020-06-08,Fire,136
324,2518.69,2023-08-11,Collision,137
325,1621.66,2023-01-30,,138
327,1511.31,2020-05-18,Fire,139
327,1408.39,2020-09-13,Theft,140
328,2001.05,2021-08-01,Fire,141
329,161.67,2019-10-08,Collision,142
339,390.38,2022-01-22,Theft,143
340,4854.66,2018-06-16,Theft,144
344,2333.94,2023-11-19,Fire,145
345,1976.52,2018-10-08,Collision,146
345,973.58,2019-07-23,,147
345,1613.92,2019-07-08,Collision,148
346,1275.07,2019-12-12,Collision,149
348,1091.0,2021-10-02,Theft,150
350,1010.01,2019-08-15,Collision,151
350,1856.48,2019-11-26,Fire,152
352,1195.55,2021-08-16,Theft,153
354,66.93,2020-09-02,Fire,154
357,435.04,2018-12-08,Collision,155
360,100000.0,2020-11-28,Fire,156
363,1462.12,2018-08-02,Collision,157
374,3197.44,2021-06-23,Theft,158
374,941.92,2021-07-07,Collision,159
376,3098.16,2021-06-06,,160
379,1191.62,2018-12-13,Theft,161
384,2896.32,2023-10-28,,162
385,3572.84,2021-06-03,Fire,163
389,1077.31,2018-09-05,Collision,164
389,1411.53,2018-10-11,Theft,165
390,1294.72,2018-09-19,Fire,166
393,1339.14,2018-12-21,Theft,167
396,3820.63,2020-11-16,Collision,168
396,2662.47,2021-04-07,Theft,169
398,1789.85,2019-09-28,,170
399,2359.13,2022-07-28,,171
399,1180.39,2022-05-27,Collision,172
404,1177.75,2022-12-27,Collision,173
404,2139.98,2023-05-29,Theft,174
404,3148.85,2022-08-24,Fire,175
405,1336.48,2023-01-31,Collision,176
407,134.03,2019-06-23,Theft,177
407,608.03,2018-10-23,Collision,178
407,3055.11,2019-09-19,Collision,179
409,4357.42,2019-12-27,Collision,180
414,1909.42,2023-09-20,Theft,181
415,2459.25,2022-03-29,Theft,182
416,2487.08,2019-08-21,Theft,183
418,1273.37,2021-06-08,,184
422,3410.1,2024-04-16,Collision,185
423,1906.02,2019-01-19,Theft,186
424,4570.28,2021-06-09,Fire,187
426,732.13,2020-02-23,Theft,188
426,1942.23,2020-01-21,Fire,189
430,1996.4,2022-09-10,Theft,190
436,3654.5,2021-04-30,Theft,191
438,1821.72,2020-09-06,Fire,192
440,1850.31,2020-06-02,Fire,193
440,4227.5,2020-02-06,Fire,194
441,469.85,2023-03-09,Theft,195
442,793.78,2020-12-29,Fire,196
443,2889.75,2022-04-17,Fire,197
444,3644.97,2020-10-12,Fire,198
444,1538.96,2020-02-08,Theft,199
449,1118.37,2023-01-07,Theft,200
452,1780.12,2021-02-28,Theft,201
452,1017.76,2021-06-01,Fire,202
454,1441.05,2020-01-21,Theft,203
456,1641.24,2022-10-15,Theft,204
458,4223.44,2020-05-13,Theft,205
458,542.63,2020-05-28,Theft,206
999999,767.87,2024-04-21,Fire,207
465,4025.66,2022-01-30,,208
466,1390.33,2019-05-23,Fire,209
467,1490.28,2020-05-17,,210
467,2304.29,2019-12-07,Collision,211
469,1183.58,2023-07-06,Collision,212
470,1691.58,2021-12-08,Collision,213
473,439.37,2023-05-09,Fire,214
474,1026.65,2018-12-23,Fire,215
475,1655.89,2020-08-12,Fire,216
476,4961.07,2023-02-10,Collision,217
478,4329.96,2023-10-18,Collision,218
480,882.73,2023-07-08,Collision,219
483,1707.65,2023-11-14,Collision,220
492,2725.71,2021-11-24,,221
493,800.79,2020-05-18,Collision,222
495,3783.14,2020-05-15,Theft,223
499,3581.61,2022-09-11,Fire,224
499,277.32,2022-10-12,,225
502,1435.31,2019-04-12,,226
503,1536.48,2023-08-30,,227
507,2671.34,2024-02-13,Theft,228
507,5145.56,2023-11-06,,229
508,491.95,2021-02-13,Theft,230
511,1560.4,2019-06-24,Collision,231
512,1220.15,2019-09-23,Collision,232
512,6137.43,2019-03-13,Theft,233
516,2982.75,2021-08-10,Fire,234
518,1035.77,2022-12-05,Theft,235
519,1449.49,2023-12-14,,236
523,1776.11,2019-08-10,Theft,237
524,711.49,2023-07-15,Collision,238
524,224.25,2023-06-11,Collision,239
526,2920.94,2019-08-24,Collision,240
530,100000.0,2018-10-14,Theft,241
531,1167.91,2021-12-07,Theft,242
536,2062.93,2021-07-09,Fire,243
540,1854.01,2019-08-14,Fire,244
540,1633.97,2019-10-08,Fire,245
540,1401.74,2019-01-12,Collision,246
541,854.28,2020-07-25,Fire,247
543,5516.04,2022-11-14,Fire,248
548,986.32,2018-03-22,Collision,249
548,951.58,2018-09-15,Collision,250
550,3490.45,2019-07-27,Fire,251
551,825.5,2022-08-20,,252
552,5489.99,2019-07-07,Fire,253
553,2068.25,2020-04-11,Collision,254
553,1541.52,2020-02-24,Fire,255
553,1608.92,2019-07-07,Collision,256
553,527.8,2019-09-04,Collision,257
554,3060.77,2022-12-21,Collision,258
555,-500.0,2021-05-16,Theft,259
556,1248.36,2022-10-11,Collision,260
556,870.37,2022-05-21,Fire,261
560,-500.0,2020-12-13,Fire,262
566,2182.31,2021-10-22,Theft,263
567,275.59,2021-05-01,,264
568,1791.83,2020-06-09,Collision,265
570,2205.14,2022-03-29,Fire,266
570,2735.22,2021-09-22,Theft,267
570,1836.32,2021-04-09,Theft,268
571,1512.03,2024-02-03,Collision,269
579,601.96,2021-11-07,Fire,270
582,3738.6,2022-10-10,Theft,271
586,1916.11,2023-10-31,Collision,272
586,1181.1,2023-04-19,Fire,273
587,404.78,2020-04-24,Collision,274
589,5422.27,2018-05-31,Theft,275
590,2451.27,2019-07-25,Fire,276
593,623.19,2022-01-24,Collision,277
595,1343.37,2021-06-20,Fire,278
595,4451.03,2021-08-16,,279
597,1538.64,2021-02-24,Collision,280
600,2154.62,2019-03-13,Collision,281
600,3481.39,2019-03-24,,282
601,1715.6,2020-08-22,Theft,283
607,3510.87,2020-10-25,Theft,284
609,1517.61,2022-06-09,Fire,285
611,1790.63,2020-03-13,Collision,286
612,1886.17,2018-12-03,Fire,287
614,636.87,2021-05-28,Fire,288
615,2574.6,2021-05-12,Fire,289
615,191.56,2021-01-21,Collision,290
616,2714.66,2019-08-26,Theft,291
616,3091.92,2019-08-12,Collision,292
620,1004.83,2021-08-03,Collision,293
624,3670.45,2021-05-05,Theft,294
625,1895.58,2023-01-22,Collision,295
626,737.25,2021-04-22,Theft,296
628,409.66,2020-11-15,Fire,297
629,3876.98,2020-11-03,Theft,298
633,2074.19,2020-01-02,Fire,299
634,546.92,2022-01-30,Collision,300
637,1889.57,2020-01-05,Collision,301
638,5090.03,2019-10-22,Theft,302
638,681.52,2018-12-20,Fire,303
640,2430.15,2019-07-06,Collision,304
644,1285.48,2023-10-13,Collision,305
645,343.33,2020-02-14,Collision,306
646,653.8,2019-12-03,Theft,307
651,4395.71,2021-03-23,Theft,308
651,199.09,2021-06-05,Collision,309
651,1017.8,2021-10-11,Collision,310
659,3226.73,2022-02-21,Fire,311
659,3786.52,2021-08-20,Collision,312
663,1240.45,2022-03-05,,313
664,3030.92,2022-07-12,Collision,314
664,665.15,2021-09-29,Fire,315
667,743.77,2021-03-25,,316
668,965.52,2019-11-28,Fire,317
671,2283.22,2018-10-25,Collision,318
671,1750.0,2019-09-24,Fire,319
682,1110.33,2020-08-04,Fire,320
686,4929.28,2023-01-08,Theft,321
689,100000.0,2020-12-24,Fire,322
690,2368.02,2021-04-11,Fire,323
694,729.8,2020-03-22,Collision,324
695,2779.84,2020-09-25,Fire,325
695,1860.77,2019-12-19,,326
696,843.43,2023-01-07,Fire,327
699,2748.13,2023-10-07,Collision,328
700,4070.41,2021-05-01,,329
701,2551.56,2021-11-16,Fire,330
705,1398.35,2021-01-01,Theft,331
711,2788.04,2021-07-11,Theft,332
719,2315.29,2023-10-02,Fire,333
719,2331.39,2023-05-05,Fire,334
725,5072.41,2023-10-22,Collision,335
727,407.15,2022-10-20,Theft,336
727,1111.04,2023-03-31,Fire,337
728,501.41,2022-07-24,Collision,338
737,2825.84,2022-10-01,Theft,339
741,6721.85,2022-05-22,Collision,340
746,5426.86,2021-03-05,Fire,341
747,3845.05,2022-04-03,Collision,342
749,2043.45,2019-05-11,Fire,343
753,1144.07,2021-05-02,Theft,344
754,3935.59,2021-04-21,Collision,345
755,1402.47,2020-07-27,Theft,346
757,724.4,2023-05-31,Collision,347
758,2461.19,2020-12-11,Theft,348
762,2640.99,2021-12-08,Collision,349
762,1145.6,2021-11-29,,350
763,1230.67,2018-12-27,Fire,351
763,1982.3,2019-07-26,,352
764,1098.92,2022-08-01,Fire,353
764,7054.32,2022-05-30,Collision,354
764,859.31,2022-05-26,Collision,355
765,1714.2,2021-08-11,Collision,356
765,3141.15,2020-12-02,Fire,357
766,1275.78,2023-07-20,Theft,358
768,4669.91,2019-10-05,,359
769,2456.15,2018-09-13,Fire,360
769,1757.83,2018-09-29,Collision,361
770,204.85,2018-11-04,Fire,362
772,-500.0,2019-06-07,Theft,363
775,770.02,2021-01-08,Theft,364
779,2684.44,2023-07-28,Fire,365
781,1906.87,2020-07-11,Fire,366
782,1380.23,2020-04-04,Theft,367
784,2084.04,2020-08-22,Fire,368
787,1027.92,2021-06-27,Collision,369
787,100000.0,2021-02-01,Theft,370
789,653.68,2020-09-23,Collision,371
790,1079.85,2020-09-05,Collision,372
794,1238.22,2019-11-05,Fire,373
796,1508.56,2019-01-01,,374
798,3229.32,2021-09-04,Theft,375
798,3132.32,2021-04-20,Theft,376
801,1761.69,2018-12-26,Fire,377
801,1566.26,2019-07-04,Collision,378
802,2414.16,2022-09-23,,379
805,2154.62,2020-12-07,Fire,380
806,3726.08,2023-04-06,Theft,381
807,8090.11,2020-11-26,Theft,382
810,2940.98,2022-10-17,Theft,383
814,3347.68,2023-07-31,,384
815,915.4,2023-10-21,Fire,385
817,4094.17,2021-12-18,Collision,386
823,1133.97,2021-11-08,Theft,387
826,1199.69,2022-03-01,Collision,388
828,2781.92,2019-06-07,Theft,389
831,938.09,2020-12-09,Collision,390
832,536.84,2021-07-04,Collision,391
833,543.14,2019-06-27,Collision,392
837,2944.64,2022-04-29,Theft,393
841,2731.35,2023-02-26,Fire,394
841,180.27,2022-12-17,Fire,395
848,3712.35,2020-03-31,Theft,396
849,505.79,2021-02-19,Fire,397
850,506.73,2020-09-26,Fire,398
850,5200.73,2020-05-04,Collision,399
853,533.74,2023-03-13,Theft,400
854,4265.32,2023-06-07,Collision,401
855,558.91,2022-07-24,Fire,402
858,2239.91,2018-10-27,Fire,403
861,3865.56,2019-03-27,Theft,404
863,1769.13,2019-10-29,Collision,405
863,1084.73,2020-03-25,Fire,406
870,663.93,2021-04-08,Collision,407
870,903.34,2021-06-03,Collision,408
871,1545.01,2022-03-25,Theft,409
878,2598.73,2023-09-07,,410
879,2213.49,2021-05-01,Theft,411
879,2881.95,2021-02-21,Collision,412
880,1307.95,2021-08-16,Theft,413
880,2008.19,2021-03-27,Theft,414
883,1772.13,2022-07-27,Theft,415
892,3785.78,2023-01-20,Fire,416
893,100000.0,2023-06-14,Fire,417
893,232.85,2023-12-23,Fire,418
893,3356.05,2023-08-11,Fire,419
903,618.21,2018-12-27,Fire,420
904,1489.69,2023-01-13,Theft,421
909,1335.13,2023-06-24,Collision,422
910,1266.12,2019-04-10,Fire,423
910,612.36,2019-08-05,Collision,424
911,5228.54,2019-04-11,Theft,425
912,825.4,2018-08-19,Fire,426
913,722.32,2023-01-09,Collision,427
913,2662.46,2022-11-22,Collision,428
913,833.99,2023-07-10,Fire,429
914,3137.35,2019-01-30,Collision,430
918,354.75,2024-02-06,Collision,431
918,3190.71,2023-06-24,Collision,432
921,2884.35,2022-08-29,,433
924,2724.11,2021-06-29,Fire,434
925,1903.64,2021-11-22,Collision,435
927,599.85,2021-01-18,,436
928,3665.23,2019-10-29,Theft,437
999999,1626.77,2021-01-04,Collision,438
930,691.73,2021-02-04,Fire,439
932,807.96,2022-11-23,Theft,440
933,1199.61,2019-07-27,Fire,441
936,1521.46,2023-02-14,Theft,442
936,2197.29,2022-06-03,Theft,443
938,2070.63,2023-05-06,,444
938,2815.33,2023-01-23,Collision,445
941,1129.57,2020-06-29,Collision,446
944,1092.7,2021-10-18,Fire,447
948,2689.64,2024-01-29,Fire,448
950,2604.33,2022-03-31,Fire,449
951,522.29,2022-08-03,,450
952,294.03,2023-08-13,Collision,451
952,1212.7,2023-09-06,Theft,452
955,658.26,2021-05-13,Collision,453
955,2044.52,2021-01-26,Theft,454
956,3618.41,2020-02-22,,455
957,1554.95,2020-04-29,Fire,456
958,1146.69,2019-07-29,Fire,457
965,5071.19,2019-06-17,Theft,458
969,637.62,2020-02-20,,459
970,2367.96,2019-07-27,Theft,460
977,661.33,2018-09-25,Collision,461
978,324.65,2020-03-02,Theft,462
983,3444.43,2022-11-30,Theft,463
985,684.88,2018-08-31,Collision,464
986,622.7,2024-02-04,Theft,465
987,2673.76,2022-02-22,Collision,466
989,3444.51,2019-12-23,Fire,467
989,3196.8,2020-03-04,,468
992,767.2,2018-05-22,Collision,469
1004,909.94,2019-12-23,Theft,470
1009,1063.37,2023-08-11,Theft,471
1014,1720.61,2019-05-25,Theft,472
1014,1059.48,2019-06-24,Theft,473
1017,2921.48,2022-02-11,,474
1018,5534.09,2019-05-18,Collision,475
1020,1765.71,2022-02-01,Theft,476
1022,4318.53,2022-11-18,Collision,477
1022,1140.69,2022-07-04,,478
1024,1887.92,2021-07-04,Fire,479
1026,1350.87,2018-09-07,Theft,480
1031,1909.37,2020-11-29,Fire,481
1032,1094.55,2018-12-04,,482
1033,2451.49,2023-02-19,Theft,483
1036,260.56,2021-01-17,Fire,484
1036,1830.18,2021-08-12,Theft,485
1037,1647.76,2021-06-17,Theft,486
1038,901.04,2023-07-21,,487
1039,4990.29,2023-06-12,Collision,488
1040,2242.38,2020-08-11,Theft,489
1045,1125.58,2020-10-04,Collision,490
1049,2899.73,2023-02-09,,491
1049,263.91,2022-08-08,Fire,492
1053,469.75,2022-10-14,Theft,493
1055,1292.16,2024-01-04,Collision,494
1056,1826.59,2021-02-04,Fire,495
1061,1837.75,2023-08-26,Theft,496
1062,918.82,2019-07-28,Collision,497
1066,2000.41,2023-01-20,Collision,498
1066,323.85,2023-08-02,Theft,499
1070,2492.96,2023-06-30,Theft,500
1076,2375.65,2019-01-11,Collision,501
1077,4725.6,2020-11-03,Collision,502
1078,679.79,2020-03-01,Collision,503
1079,4378.29,2019-09-22,Fire,504
1081,849.39,2020-02-13,,505
1081,958.79,2020-02-11,,506
1082,5153.3,2018-09-15,Theft,507
1095,1937.73,2021-01-18,Fire,508
1096,1903.3,2023-08-22,Theft,509
1107,1409.22,2023-05-23,Collision,510
1111,621.98,2021-10-28,Fire,511
1115,958.22,2018-07-14,Fire,512
1115,995.6,2018-06-07,Fire,513
1116,1430.41,2023-08-27,,514
1119,2587.69,2020-07-12,Fire,515
1121,2668.68,2021-11-22,Collision,516
1121,2895.08,2022-03-27,Collision,517
1126,3049.45,2022-10-17,Theft,518
1128,1537.38,2022-05-12,Theft,519
1129,278.57,2019-10-29,Fire,520
1129,1601.21,2019-05-26,Collision,521
1130,4962.84,2021-05-01,Theft,522
1133,575.7,2023-11-05,Fire,523
1133,1856.14,2023-05-17,Collision,524
1133,4895.21,2023-05-26,Theft,525
1134,1738.81,2022-04-13,Theft,526
1146,2766.1,2019-01-11,Theft,527
1147,980.14,2019-08-07,Theft,528
1148,3940.04,2020-03-11,Fire,529
1151,3348.18,2020-05-21,Collision,530
1156,6526.78,2019-10-04,Collision,531
1158,2778.18,2019-02-25,Theft,532
1158,5292.73,2018-12-01,Fire,533
1158,583.49,2018-08-03,Fire,534
1162,1282.97,2019-07-27,Theft,535
1164,1914.25,2022-06-19,Theft,536
1164,804.97,2022-05-06,,537
1165,1451.81,2019-08-29,Fire,538
1167,5003.65,2019-06-02,,539
1168,3506.59,2019-10-09,Fire,540
1174,3470.11,2019-11-03,Fire,541
1175,2981.64,2019-05-24,Fire,542
1177,876.95,2020-11-14,Theft,543
1181,732.59,2023-02-06,Collision,544
1185,3842.45,2019-02-16,Collision,545
1185,3697.47,2019-08-27,Theft,546
1190,2251.04,2022-10-21,Collision,547
1190,3769.19,2022-12-25,Theft,548
1190,1644.47,2023-06-24,Theft,549
1191,491.82,2023-05-22,Collision,550
1192,817.7,2023-07-09,Collision,551
1193,2654.56,2021-06-27,Theft,552
1196,434.43,2022-11-22,Fire,553
1196,2879.24,2022-09-04,Collision,554
1198,1382.34,2019-02-25,Theft,555
1200,434.32,2020-01-20,Collision,556
1200,953.01,2020-02-04,Fire,557
1203,1291.0,2020-02-17,Fire,558
1206,2106.3,2018-09-16,Theft,559
1208,3225.94,2020-11-23,Fire,560
1210,2158.65,2020-09-13,Fire,561
1216,2893.84,2022-10-20,Theft,562
1216,100000.0,2022-02-17,Fire,563
1218,257.74,2020-03-02,Theft,564
1223,2465.13,2022-06-06,Collision,565
1224,1076.84,2020-06-14,Collision,566
1226,2231.13,2020-04-28,Collision,567
1227,1555.5,2023-06-25,Collision,568
1227,1455.28,2023-11-24,Collision,569
1229,1486.37,2022-06-13,Theft,570
1231,569.0,2022-10-31,Theft,571
1234,196.11,2023-08-26,,572
1234,796.47,2023-07-10,Collision,573
1235,975.46,2021-12-23,Collision,574
1236,5749.91,2023-06-02,Collision,575
1236,2752.3,2023-12-27,,576
1236,2158.39,2023-12-05,Fire,577
1237,2978.41,2020-08-07,Theft,578
1238,377.56,2022-09-03,Collision,579
1244,1445.37,2022-10-27,Theft,580
1245,954.7,2022-01-26,Fire,581
1245,1841.65,2022-07-06,Collision,582
1248,911.56,2020-12-29,Fire,583
1249,823.52,2020-10-17,Theft,584
1250,1437.88,2019-05-19,Fire,585
1250,2548.61,2018-10-20,,586
1256,1520.91,2021-12-20,Fire,587
1258,-500.0,2021-04-04,Collision,588
1258,1682.03,2021-12-08,Theft,589
1259,694.06,2021-02-12,Theft,590
1262,4003.15,2023-02-15,Fire,591
1267,1646.77,2020-07-06,Theft,592
1272,280.51,2018-10-06,Theft,593
1272,596.92,2019-04-24,Collision,594
1273,1723.43,2021-05-03,Theft,595
1276,3100.25,2018-08-06,Theft,596
1277,576.65,2019-06-12,Collision,597
1278,137.24,2023-02-26,Theft,598
1278,1451.55,2022-11-04,Fire,599
1280,936.44,2021-09-03,Collision,600
1281,1380.53,2019-03-16,Theft,601
1289,2292.3,2023-03-11,Collision,602
1297,3531.98,2020-09-04,Fire,603
1307,2385.93,2020-07-06,Theft,604
1308,100000.0,2020-02-01,Collision,605
1309,1784.76,2023-09-28,Theft,606
1314,906.57,2020-02-27,Fire,607
1316,2652.02,2020-07-18,Theft,608
1316,1666.58,2020-05-23,Collision,609
1317,3574.62,2019-11-24,Collision,610
1319,3793.97,2019-05-08,Theft,611
1320,2462.82,2021-02-19,Collision,612
1325,1363.98,2023-01-10,Collision,613
1326,3716.03,2019-04-02,Fire,614
1327,3348.9,2019-08-04,Collision,615
1328,2657.81,2021-01-26,,616
1329,749.44,2023-04-12,Collision,617
1331,823.16,2020-01-18,Fire,618
1332,3969.36,2019-03-31,Theft,619
1333,2685.54,2023-09-02,Fire,620
1340,986.09,2018-12-08,Collision,621
1350,1547.15,2019-02-11,Collision,622
1351,2215.85,2019-05-17,Fire,623
1352,824.5,2023-07-26,Collision,624
1354,2921.79,2022-06-04,,625
1356,4789.29,2022-12-20,Fire,626
1358,4547.63,2022-10-08,Fire,627
1359,1949.7,2023-02-18,Theft,628
1361,1170.04,2018-10-27,Collision,629
1362,4102.0,2021-05-20,Theft,630
1364,2778.35,2020-04-05,Theft,631
1371,2401.15,2019-10-09,Fire,632
1371,1860.0,2020-06-16,Theft,633
1376,243.3,2021-02-05,Theft,634
1378,2781.72,2021-11-16,Fire,635
1381,2114.18,2022-04-12,Theft,636
1381,417.47,2022-07-08,Collision,637
1385,2199.14,2021-06-29,Theft,638
1388,680.39,2022-04-09,Collision,639
1390,6405.38,2021-03-04,Collision,640
1391,1519.41,2018-02-26,Fire,641
1394,774.6,2021-08-15,Fire,642
1394,2445.84,2022-04-15,Collision,643
1394,3251.32,2022-06-01,Collision,644
1396,2825.24,2023-02-04,Theft,645
1399,1826.89,2022-11-19,Fire,646
1406,1022.5,2018-08-04,Theft,647
1407,2236.73,2020-02-24,Collision,648
1407,4641.43,2020-06-21,Fire,649
1409,404.48,2019-12-29,Theft,650
1409,1871.94,2019-12-11,Theft,651
1411,856.9,2019-01-21,Theft,652
1411,2220.71,2018-12-28,Theft,653
1411,564.12,2019-06-24,Fire,654
1412,2137.72,2019-04-18,Fire,655
1420,2507.3,2021-08-04,Collision,656
1421,2083.6,2020-11-07,Collision,657
1425,2820.64,2019-03-09,Fire,658
1426,1451.21,2020-07-31,,659
1429,4111.51,2023-05-30,Collision,660
1429,4585.07,2023-08-27,,661
1430,2987.31,2020-01-14,Theft,662
1430,3274.67,2020-03-17,Theft,663
1433,5732.02,2020-10-09,Theft,664
1434,2782.01,2022-08-13,Fire,665
1437,4696.39,2023-07-02,Theft,666
1437,2645.19,2022-11-05,Collision,667
1443,6922.28,2018-02-24,Fire,668
1444,348.44,2019-04-26,Theft,669
1445,776.12,2021-02-12,Collision,670
1445,5664.32,2020-09-22,Collision,671
1447,1116.51,2023-08-03,Collision,672
1449,1739.02,2018-11-03,Collision,673
1450,1550.78,2023-07-22,,674
1456,478.95,2024-01-29,Fire,675
1456,737.57,2023-06-03,Theft,676
1462,4926.01,2019-06-09,Theft,677
1463,103.67,2023-04-10,Fire,678
1465,991.78,2023-01-24,Collision,679
1465,1352.57,2023-02-28,Collision,680
1466,2192.35,2023-07-03,Fire,681
1468,4030.16,2020-09-13,Theft,682
1469,3001.56,2021-12-06,Theft,683
1469,504.93,2021-09-19,Fire,684
1472,1678.02,2023-11-27,Theft,685
1472,989.04,2024-01-08,Fire,686
1473,836.67,2020-03-13,Collision,687
1475,403.69,2023-01-09,Fire,688
1477,1989.03,2018-12-10,Collision,689
1479,1536.63,2019-05-07,Theft,690
1481,1111.16,2021-11-05,,691
1482,1474.11,2020-08-06,Fire,692
1482,1104.95,2020-02-23,Collision,693
1483,3542.72,2020-06-10,,694
1484,2261.55,2021-01-07,Collision,695
1488,1384.43,2020-02-01,Theft,696
1490,1680.32,2020-11-26,Fire,697
1490,3078.51,2021-02-22,Fire,698
1491,719.04,2020-10-15,Collision,699
1493,824.56,2019-08-30,Theft,700
1494,100000.0,2024-04-30,Theft,701
1495,1016.44,2023-07-02,Theft,702
1496,3164.2,2021-02-07,Fire,703
1498,4459.82,2021-10-23,Theft,704
1498,994.31,2021-12-03,Theft,705
